Castaway	Job	URL	Episode title	Book	Luxury	Favourite track	Presenter	Date first broadcast	Time first broadcast	Artist 1	Song 1	Artist 2	Song 2	Artist 3	Song 3	Artist 4	Song 4	Artist 5	Song 5	Artist 6	Song 6	Artist 7	Song 7	Artist 8	Song 8
Professor Tim Spector	scientist	https://www.bbc.co.uk/programmes/m001xvl5	Professor Tim Spector, scientist	A Tale of Two Cities by Charles Dickens	A fermenting set	All of Me (live) - Louis Armstrong	Lauren Laverne	2024-03-31	11:15	David Bowie	Life On Mars?	Sergey Prokofiev	Prokofiev: Romeo and Juliet, Op. 64 / Act 1 - 13. Dance Of The Knights	The Rolling Stones	Paint It Black	Fleetwood Mac	Dreams	Peter Boyle & Norbert Schiller & Gene Wilder	Puttin' on the Ritz	Louis Armstrong	All of Me (live)	The Jam	That's Entertainment	Elvis Presley	In The Ghetto
Professor Alice Roberts	scientist and broadcaster	https://www.bbc.co.uk/programmes/m001xm3m	Professor Alice Roberts, scientist and broadcaster	Middlemarch by George Eliot	A kayak	Merry Christmas Mr. Lawrence. Composed by Ryuichi Sakomoto and performed by Phoebe Stevens	Lauren Laverne	2024-03-24	11:15	Pixies	Monkey Gone to Heaven	The Sisters of Mercy	Temple of Love	Austin Wintory	Apotheosis	The Smashing Pumpkins	Cherub Rock	Live Lounge Allstars	Times Like These (BBC Radio 1 Stay Home Live Lounge)	System of a Down	Sugar	Phoebe Stevens	Merry Christmas Mr Lawrence	Johnny Flynn & Robert MacFarlane	Coins for the Eyes
Jenny Sealey	theatre director	https://www.bbc.co.uk/programmes/m001xff3	Jenny Sealey, theatre director	The Complete Works of Armistead Maupin	A photography kit	Handel: Messiah, HWV 56, Pt. 2: No. 44, Chorus. Hallelujah, for the Lord God Omnipotent Reigneth. Composed by George Frideric Handel and performed by The Sixteen Choir, conducted by Harry Christophers	Lauren Laverne	2024-03-17	11:15	George Frideric Handel	Handel: Messiah, HWV 56, Pt. 2: No. 44, Chorus. Hallelujah	The Beatles	Yesterday	The Undertones	Teenage Kicks	Roberta Flack	The First Time Ever I Saw Your Face	Patti Smith Group	Because the Night	John Kelly and Graeae Theatre Company	Spasticus Autisticus	The cast of Reasons to be Cheerful	If It Can't Be Right Then It Must Be Wrong	Kirsty MacColl	Days
James Graham	playwright	https://www.bbc.co.uk/programmes/m001x48w	James Graham, playwright	A Brief History of Time by Stephen Hawking	A keg of Single Malt Scotch Whisky	Where Are We Now? - David Bowie	Lauren Laverne	2024-03-10	11:15	Pulp	Disco 2000	Glenn Miller	Chatanooga Choo Choo	Foo Fighters	Up in Arms	Gabriel Yared	Syncopes	Kylie Minogue	Your Disco Needs You	David Bowie	Where Are We Now?	Katie Brayben	If You Came To See Me Cry	Rufus Wainwright	Going To A Town
Rita Rae	Lady Rae	https://www.bbc.co.uk/programmes/m001wxrx	Rita Rae, Lady Rae, lawyer and judge	The Pursuit of Italy: A History of a Land, its Regions and their Peoples by David Gilmour	A solar powered car	Mamma - Beniamino Gigli	Lauren Laverne	2024-03-03	11:15	Sergey Rachmaninov	Piano Concerto No. 2 in C Minor, Op. 18 - III. Allegro scherzando	Giuseppe Verdi	"La traviata / Act II - ""Ah! Dite alla giovine"""	Beniamino Gigli	Mamma	Massimo Ranieri	Aranjuez mon amour	Fascinating Aïda	Cheap Flights	Georges Bizet	"Carmen, Act II: ""The Flower Song"" (""La fleur que tu m'avais jetee"")"	Giulio Caccini	Ave Maria	Peggy Wood (Mother Abbess)	Climb Ev'ry Mountain
Sandy Powell	costume designer	https://www.bbc.co.uk/programmes/m001wr4t	Sandy Powell, costume designer	Josef Koudelka: Gypsies	A lemon tree	Life on Mars? - David Bowie	Lauren Laverne	2024-02-25	11:15	T. Rex	Jeepster	Gustav Mahler	Adagietto, Symphony No. 5 in C-Sharp Minor	David Bowie	Life On Mars?	Alan Dunn	La Vie en Rose	Bobbi Gentry	I'll Never Fall in Love Again	Lou Reed	Satellite Of Love	Alison Limerick	Where Love Lives (Come On In)	Tony Bennett	I Left My Heart in San Francisco
Clive Oppenheimer	volcanologist	https://www.bbc.co.uk/programmes/m001wgxx	Clive Oppenheimer, volcanologist	The Vivisector by Patrick White	A seismometer	Debaser – Pixies	Lauren Laverne	2024-02-18	11:15	The Dave Brubeck Quartet	Blue Rondo a la Turk	Diana Ross	Love Hangover	Kraftwerk	Autobahn	The B‐52s	Lava	Pixies	Debaser	Olivier Messiaen	Turangalîla-symphonie, Part VI Jardin du sommeil d'amour	Bezawork Asfew	T'zeta	The Sixteen and Harry Christophers	Hymn for the Dormition of the Mother of God
Cillian Murphy	actor	https://www.bbc.co.uk/programmes/m001w72b	Cillian Murphy, actor	Samuel Beckett: The Complete Dramatic Works	An acoustic guitar and strings	We Can Work it Out - The Beatles	Lauren Laverne	2024-02-11	11:15	Paul Simon	The Boy in the Bubble	Séamus Ennis	The Wandering Minstrel	The Frank and Walters	Walter's Trip	U2	Bullet The Blue Sky	Queen	Somebody To Love	Radiohead	Everything In Its Right Place	The Beatles	We Can Work It Out	Lisa O'Neill	If I was a Painter
Val Wilmer	writer and photographer	https://www.bbc.co.uk/programmes/m001w0r6	Val Wilmer, writer and photographer	The Collective Works of Langston Hughes	Nail scissors	Criss Cross - Thelonious Monk	Lauren Laverne	2024-02-04	11:15	Louis Armstrong and His Hot Seven	Potato Head Blues	Big Bill Broonzy	Black, Brown and White	Zoltán Kodály	Sonata for Solo Cello, Op. 8_1. Allegro maestoso ma appassionato	Langston Hughes	Blues Montage, Pt. 2: Commercial Theatre / Morning After	S. E. Rogie	My Lovely Elizabeth	Thelonious Monk	Criss Cross	Julius Hemphill	Dogon A D	Joan Armatrading	Love And Affection
Jamie Dornan	actor	https://www.bbc.co.uk/programmes/m001vsl8	Jamie Dornan, actor	Where The Wild Things Are by Maurice Sendak	A golf club and balls	Forever – The Beach Boys	Lauren Laverne	2024-01-28	11:15	Van Morrison	Caravan	Philip Glass	Violin Concerto No. 1: II. Quarter Note = 108	Sigur Rós	Hoppípolla	Simon & Garfunkel	Bridge Over Troubled Water	Brendan Benson	Metarie	The Beach Boys	Forever	The Beatles	Something	The Waterboys	The Whole of the Moon
Sheku Kanneh-Mason	cellist	https://www.bbc.co.uk/programmes/m001vl50	Sheku Kanneh-Mason, cellist	The Feynman Lectures on Physics by Richard Feynman	A cello and strings	Requiem in D minor, K. 626 , Introitus 1 – Requiem. Composed by Wolfgang Amadeus Mozart and performed by the Monteverdi Choir	Lauren Laverne	2024-01-21	11:15	Edward Elgar	Cello Concerto in E minor (Op.85) 1st Movement, Allegro - moderato	The Melodians	Rivers of Babylon	Pluto Shervington	Dat	Joseph Haydn	String Quartet in C major, Op 20 No. 2, Capriccio: Adagio	Bob Marley	Chances Are	Wolfgang Amadeus Mozart	Requiem in D minor, K. 626 , Introitus 1 - Requiem	Dmitry Shostakovich	Symphony No.11 'The Year 1905' - II. The 9th January; Adagio	Johann Sebastian Bach	Largo from Organ Sonata No.5 in C major, BWV 529
Guli Francis-Dehqani	Church of England Bishop	https://www.bbc.co.uk/programmes/m001vbq7	Guli Francis-Dehqani, Church of England Bishop	The Book of Kings	Photo albums	Requiem in D Minor, Op. 48: VI. Libera me. Composed by Gabriel Fauré and performed by Stephen Varcoe (baritone), The Cambridge Singers, conducted by John Rutter	Lauren Laverne	2024-01-14	11:15	Gabriel Fauré	Requiem in D Minor, Op. 48: VI. Libera me	Homayoun Shajarian and Dastan Ensemble	Morgh-e Sahar	Black Box	Ride On Time	Frank Bridge	Miniatures for Piano Trio. Set 2: No. 4, Romance	Gabriel Francis-Dehqani & Fiona Sweeney & Kryštof Kohout & Will Harmer	Variations on Bahram's Melody	Sinéad O’Connor	Take Me To Church	Keane	Sovereign Light Café	Golnar Shahyar, Mahan Mirarab, & Luis Guerra	Mahi
Graham Nash	musician	https://www.bbc.co.uk/programmes/m001v2w0	Graham Nash, musician	The Island at the Center of the World by Russell Shorto	A sleeping bag	A Day In The Life - The Beatles	Lauren Laverne	2024-01-07	11:15	Gene Vincent	Be-Bop-a-Lula	Jerry Lee Lewis	Great Balls of Fire	The Crickets	Maybe Baby	The Everly Brothers	Bye Bye Love	The Beach Boys	God Only Knows	Samuel Barber	Adagio for Strings	Peter Gabriel & Kate Bush	Don't Give Up	The Beatles	A Day In The Life
Delia Smith	CH	https://www.bbc.co.uk/programmes/m001tq0c	Delia Smith, CH, CBE, cookery writer and broadcaster	Sister Wendy’s 100 Best-loved Paintings by Wendy Beckett	The Desert Island Discs archive	Kyrie: Call To Prayer – Muezzin from the Muhammad Ali Mosque, Cairo. Composed by David Fanshawe and performed by Bournemouth Symphony Chorus, Choristers of St. George's Chapel, Windsor	Lauren Laverne	2023-12-24	11:15	Paul Simon	The Sound of Silence	The Beatles	Within You Without You	Erik Satie	Gnossienne No 1	Lucio Dalla	Caruso	David Fanshawe	Kyrie: Call To Prayer	Kate Bush	This Woman's Work	Sinéad O’Connor	She moved through the fair	Pharrell Williams	Happy
Greta Gerwig	writer and director	https://www.bbc.co.uk/programmes/m001thwh	Greta Gerwig, writer and director	The Complete Poems: Emily Dickinson	A writing set	Sleigh Ride - Johnny Mathis, Percy Faith & His Orchestra	Lauren Laverne	2023-12-17	11:15	Don Pippin & A Chorus Line Orchestra & A Chorus Line Ensemble	I Hope I Get It	The Who	Pinball Wizard	Percy Faith & His Orchestra & Johnny Mathis	Sleigh Ride	Elvis Presley	And The Grass Won't Pay No Mind	David Bowie	Moonage Daydream	Johnny Green & His Orchestra, Fred Astaire	Top Hat, White Tie and Tails	Camelot Orchestra, Franz Allers, Original Broadway Cast of Camelot	Camelot: Finale Ultimo	Nina Simone	Ain't Got No, I Got Life
Shirley Ballas	dance judge	https://www.bbc.co.uk/programmes/m001t9j1	Shirley Ballas, dance judge	Unleash the Power Within by Tony Robbins	Cotton knickers	Highs and Lows - Alexander Jean	Lauren Laverne	2023-12-10	11:15	Daft Punk & Pharrell Williams and Nile Rodgers	Get Lucky	Johnny Cash	Ring Of Fire	Frank Sinatra	Moon River	The Four Seasons	Sherry	Nirvana	Smells Like Teen Spirit	The Real Thing	You to Me Are Everything	Alexander Jean	Highs and Lows	Carpenters	We've Only Just Begun
Marina Abramović	performance artist	https://www.bbc.co.uk/programmes/m001t2y4	Marina Abramović, performance artist	In Search of the Miraculous by Peter D Ouspensky	A cashmere blanket	Sherab Nyingpo Mantra (The Heart Sutra) - Tashi Lhunpo Monks	Lauren Laverne	2023-12-03	11:15	Johann Sebastian Bach	Aria	Vincenzo Bellini	"Norma, Act 1: ""Casta diva"""	ANOHNI	4 Degrees	Chavela Vargas	Paloma Negra	Tina Turner	Private Dancer	Tashi Lhunpo Monks	Sherab Nyingpo Mantra (The Heart Sutra)	Wolfgang Amadeus Mozart	Piano Concerto no. 21 in C major K.467 (2nd mvt)	The Andrews Sisters, Vic Schoen & His Orchestra	Rum And Coca-Cola
Dr Nicola Fox	head of science at Nasa	https://www.bbc.co.uk/programmes/m001stn6	Dr Nicola Fox, head of science at Nasa	Pale Blue Dot by Carl Sagan	Lego	Boulevard of Broken Dreams - Green Day	Lauren Laverne	2023-11-26	11:15	Tina Turner	The Best	Bon Jovi	Livin' On A Prayer	MGM Studio Orchestra, conducted by Maurice Jarre	Lara's Theme	Andy Williams	Danny Boy	Shawn Colvin	When You Know	Duran Duran	(Reach Up For The) Sunrise	Green Day	Boulevard Of Broken Dreams	Harry Styles	Canyon Moon
Pia Sinha	Director Prison Reform Trust	https://www.bbc.co.uk/programmes/m001slj3	Pia Sinha, Director Prison Reform Trust	A Fine Balance by Rohinton Mistry	Chilli sauce	Kathy’s Song - Simon & Garfunkel	Lauren Laverne	2023-11-19	11:15	Simon & Garfunkel	Kathy's Song	Kumar Sanu	Ek Ladki Ko Dekha	Soul II Soul	Back to Life	Leftfield	Melt	Love	Andmoreagain	Danger Mouse, Daniele Luppi and Norah Jones & Norah Jones	Black	Frankie Goes to Hollywood	The Power Of Love	Adele	Hometown Glory
Peter White	broadcaster	https://www.bbc.co.uk/programmes/m001sdrh	Peter White, broadcaster	The 1962 edition of the Wisden Cricketers' Almanack	Pear drops	Albatross - Judy Collins	Lauren Laverne	2023-11-17	09:00	Joan Armatrading	Somebody Who Loves You	Ella Fitzgerald	Ev'ry Time We Say Goodbye	Cream	Badge	Judy Collins	Albatross	George Butterworth	The Banks of Green Willow	Joni Mitchell	My Old Man	The Beatles	We Can Work It Out
Lea Salonga	singer and actor	https://www.bbc.co.uk/programmes/m001s53c	Lea Salonga, singer and actor	The Complete Far Side by Gary Larson	A typewriter	Snooze - Agust D ft. Ryuichi Sakamoto & WOOSUNG	Lauren Laverne	2023-11-05	11:15	Julie Andrews	Feed The Birds (Tuppence A Bag)	Judy Kuhn	Days and Days	Michael Jackson	Billie Jean	Ryan Cayabyab	Tsismis	Erik Satie	Gymnopédie No. 1	BTS	Intro : Singularity	Betty Noyes	Baby Mine	Agust D & Ryuichi Sakamoto & WOOSUNG	Snooze
Professor Dame Lesley Regan	obstetrician and gynaecologist	https://www.bbc.co.uk/programmes/m001ry3m	Professor Dame Lesley Regan, obstetrician and gynaecologist	The Works of George Eliot	Marmite on toast	The Best – Tina Turner	Lauren Laverne	2023-10-29	11:15	Nina Simone	Mr. Bojangles	Gustav Mahler	Mahler's 5th Symphony - 4th movement - Adagietto	Johann Sebastian Bach	Agnus Dei	Katie Melua	I Cried for You	Vincenzo Bellini	Norma: Act I, Scene 1: Casta diva (Norma/Coro)	Tina Turner	The Best	Shakespeare & The Bible	Metamorpheme	Wolfgang Amadeus Mozart	Clarinet Concerto In A, K. 622 - II. Adagio
Patrick Grant	designer and broadcaster	https://www.bbc.co.uk/programmes/m001rqjj	Patrick Grant, designer and broadcaster	Green Woodwork: Working with Wood the Natural Way by Mike Abbott	A complete set of woodworking tools	Kill Dem - Jamie xx	Lauren Laverne	2023-10-22	11:15	Minnie Riperton	Les Fleurs	Else Torp and Christopher Bowers-Broadbent	My Heart's in the Highlands	Sylvester	Do You Wanna Funk	Björk	Big Time Sensuality (The Fluke Magimix)	Radiohead	Harry Patch (In Memory Of)	Jamie xx	KILL DEM	alt-J	Get Better	Young Fathers	I Saw
Dame Donna Langley	film studio executive	https://www.bbc.co.uk/programmes/m001rgvc	Dame Donna Langley, film studio executive	Love in the Time of Cholera by Gabriel García Márquez	Tarot cards	All My Friends - LCD Soundsystem	Lauren Laverne	2023-10-15	11:15	ABBA	Thank You For The Music	Mikis Theodorakis	Zorba the Greek	Wilhelmenia Fernandez	La Wally	The The	This is the day	Ice Cube	It Was a Good Day	Fiona Apple	Never Is a Promise	LCD Soundsystem	All My Friends	Anderson .Paak & André 3000	Come Home
Greg Jackson	entrepreneur	https://www.bbc.co.uk/programmes/m001r7jj	Greg Jackson, entrepreneur	The Apollo Guidance Computer: Architecture and Operation by Frank O'Brien	A pinball machine	One Day Like This - Elbow	Lauren Laverne	2023-10-08	11:15	Yazz & The Plastic Population	The Only Way Is Up	Iron Maiden	Run To The Hills	U2	I Still Haven't Found What I'm Looking For	Vic Reeves & The Wonder Stuff	Dizzy	Kenny Rogers	The Gambler	Elbow	One Day Like This	Motörhead	Rockaway Beach
Katherine Ryan	comedian	https://www.bbc.co.uk/programmes/m001r14k	Katherine Ryan, comedian	The Highway Rat by Julia Donaldson, illustrated by Axel Scheffler	A hat and skincare set	Spice Up Your Life - The Spice Girls	Lauren Laverne	2023-10-01	11:15	Spice Girls	Spice Up Your Life	Eminem	The Real Slim Shady	Madonna	La Isla Bonita	Blind Melon	Soul One	Taylor Swift	22	Yacht, Classixx	Psychic City	Dave Matthews Band	Crash Into Me	Stefflon Don	16 Shots
Lucinda Russell	horse trainer	https://www.bbc.co.uk/programmes/m001qt30	Lucinda Russell, horse trainer	Equine Sports Medicine and Surgery by Andris J. Kaneps, Kenneth William Hinchcliff, and Raymond J. Geor	A camper van	Can't Take My Eyes Off You - Andy Williams	Lauren Laverne	2023-09-24	11:15	fun	Some Nights	Alphaville	Forever Young	Lee Marvin	Wand'rin' Star	Billy Joel	Piano Man	The The	This is the day	The Saw Doctors	To Win Just Once	Andy Williams	Can't Take My Eyes Off You	ABBA	Andante, Andante
Adrian Edmondson	actor	https://www.bbc.co.uk/programmes/m001qlz2	Adrian Edmondson, actor, writer	Waiting for Godot by Samuel Beckett	A tab of acid	Wide Open Spaces - The Chicks	Lauren Laverne	2023-09-17	11:15	Petula Clark	Downtown	Michael Flanders and Donald Swann	A Song of the Weather	The Archies	Sugar, Sugar	The Selecter	On My Radio	Vin Bruce	Jole Blon	Mott the Hoople	Saturday Gigs	The Bonzo Dog Band	I'm Bored	The Chicks	Wide Open Spaces
Shirley Collins	folk singer	https://www.bbc.co.uk/programmes/m001pf7y	Shirley Collins, folk singer	A collection of Brodie detective novels by Kate Atkinson	A solar powered fridge filled with Italian Ice cream and two lipsticks	Poor Sally Sits a Weeping	Lauren Laverne	2023-08-06	11:15	Concerto Caledonia	Chiling O Guiry	The Copper Family	The Birds in the Spring	Maddy Prior and The Carnival Band	Who Would True Valour See	Sheila Smith	Dear Father, Pray Build Me a Boat	Mississippi Fred McDowell	61 Highway Blues	Dolly Collins	Poor Sally Sits a-weeping	Richard & Linda Thompson	A Heart Needs A Home	Mark Knopfler	Going Home
Toto Wolff	Formula 1 executive	https://www.bbc.co.uk/programmes/m001p6y1	Toto Wolff, Formula 1 executive	The Count of Monte Cristo by Alexandre Dumas	Diving fins and a mask	Fallen - Lauren Wood	Lauren Laverne	2023-07-30	11:15	Massive Attack	Unfinished Sympathy	Genesis	Mama	Annie Lennox	Money Can't Buy It	Paolo Nutini	Iron Sky	Queen	We Are The Champions	Phil Collins	Another Day In Paradise	Lauren Wood	Fallen	Frankie Goes to Hollywood	The Power Of Love
Simon Woolley	crossbench peer	https://www.bbc.co.uk/programmes/m001p1n9	Simon Woolley, crossbench peer	Football in Sun and Shadow by Eduardo Galeano	A razor blade	For Once in My Life - Stevie Wonder	Lauren Laverne	2023-07-23	11:15	The Jacksons	I Want You Back	Tom Jones	Green Green Grass of Home	Ella Fitzgerald	Manhattan	David Guetta & Sia	Titanium (Morten Future Rave Mix)	Grupo Niche	Hagamos Lo Que Diga El Corazón	Alexis Ffrench, Royal Liverpool Philharmonic Orchestra, James Morgan	Dreamland	Niyari	Cowboy bebop Tank!	Stevie Wonder	For Once In My Life
Jill Scott	footballer	https://www.bbc.co.uk/programmes/m001nvhz	Jill Scott, footballer	The Secret Diary of Adrian Mole, Aged 13¾ by Sue Townsend	A notebook and pens	The Climb - Miley Cyrus	Lauren Laverne	2023-07-16	11:15	Labi Siffre	(Something Inside) So Strong	Boyzone	So Good	Whitney Houston	Step by Step	Maroon 5	Sunday Morning	Miley Cyrus	The Climb	Whitney Houston	My Love Is Your Love	Peter Andre	Mysterious Girl	Neil Diamond	Sweet Caroline
Peter Doig	artist	https://www.bbc.co.uk/programmes/m001np4c	Peter Doig, artist				Lauren Laverne	2023-07-09	11:15	Mighty Sparrow	Dan is the Man in the Van	Bob Dylan	All The Tired Horses	Hank Williams	Honky Tonkin'	Linton Kwesi Johnson	Want Fi Goh Rave	Grandmaster Flash & The Furious Five	The Message	Aretha Franklin	Jump To It	Kraftwerk	Computer Love	Shadow	Way, Way Out
Stanley Tucci	actor	https://www.bbc.co.uk/programmes/m001nfz9	Stanley Tucci, actor	Westward Ha! by S J Perelman	Art supplies	What a Wonderful World - Louis Armstrong	Lauren Laverne	2023-07-02	11:15	The Beatles	Let It Be	Les McCann & Eddie Harris	Compared to What (Live at the Montreux Jazz Festival)	Wolfgang Amadeus Mozart	Mozart: Clarinet Concerto in A Major, K. 622 - II. Adagio	Joan Armatrading	The Weakness in Me	Louis Armstrong	What a Wonderful World	Pyotr Ilyich Tchaikovsky	Tchaikovsky: Serenade for String Orchestra in C Major, Op. 48, TH 48 - I. Pezzo	Frank Sinatra	A Foggy Day (In London Town)	Bob Dylan	Not Dark Yet
Kate Mosse	writer	https://www.bbc.co.uk/programmes/m001n8cc	Kate Mosse, writer	Four Quartets by T.S. Eliot	A jukebox	Piano Concerto in G Major, M. 83, composed by Maurice Ravel and performed by Martha Argerich and London Symphony Orchestra	Lauren Laverne	2023-06-25	11:15	Cat Stevens	Morning Has Broken	Nancy Sinatra	These Boots Are Made for Walkin'	David Bowie	Station to Station	The Style Council	Walls Come Tumbling Down	Gloria Gaynor	I Will Survive	Maurice Ravel	Piano Concerto in G Major, M. 83	ABBA	Dancing Queen	Jacques Brel	La Chanson des vieux amants
Adam Kay	writer	https://www.bbc.co.uk/programmes/m001n1sq	Adam Kay, writer	York Notes for the Complete Works of Shakespeare	A diary and pen	San Diego Serenade - Tom Waits	Lauren Laverne	2023-06-18	11:15	Liberace	Chopsticks	Pulp	Mis-Shapes	Frédéric Chopin	Chopin: Waltz No. 14 in E Minor, Op. posth	Stubby Kaye, Original Cast Chorus	Sit Down, You're Rockin' the Boat	Dr. Dre & Eminem	Forgot About Dre	Tom Lehrer	Poisoning Pigeons	The Divine Comedy	A Lady of a Certain Age	Tom Waits	San Diego Serenade
Claudia Rankine	poet	https://www.bbc.co.uk/programmes/m001msyr	Claudia Rankine, poet	As I Lay Dying by William Faulkner	A solar powered television, playing tennis matches	Good as Hell - Lizzo	Lauren Laverne	2023-06-11	11:15	Lizzo	Good as Hell	Bob Marley & The Wailers	Stir It Up	Commodores	Nightshift	Roxy Music	More Than This	Lauryn Hill	Can't Take My Eyes Off of You (I Love You Baby)	Prince & The Revolution	Kiss	John Coltrane	My Favorite Things	Corona	The Rhythm Of The Night
Jeremy Bowen	journalist	https://www.bbc.co.uk/programmes/m001mly1	Jeremy Bowen, journalist	The Complete Novels of George Orwell	A manual typewriter	Symphony No. 2 in E-Flat Major, Op. 63: II. Larghetto. Composed by Edward Elgar and performed by Hallé Orchestra and Wiener Singverein, conducted by Sir John Barbirolli	Lauren Laverne	2023-06-04	11:15	Al Green	Let's Stay Together	Edward Elgar	Symphony No. 2 in E-Flat Major, Op. 63: Larghetto	Sergey Rachmaninov	Piano Concerto No. 2 in C minor, Op 18	Simon & Garfunkel	America	Giacomo Puccini	La bohème: O soave fanciulla	Johannes Brahms	Denn alles Fleisch, es ist wie Gras	The Beatles	In My Life	The Kinks	Waterloo Sunset
Ronnie O'Sullivan	snooker player	https://www.bbc.co.uk/programmes/m001mc30	Ronnie O'Sullivan, snooker player	Running with the Kenyans by Adharanand Finn	A painting set	That’s All - Genesis	Lauren Laverne	2023-05-28	11:15	Eminem	Lose Yourself	Wham!	Careless Whisper	Whitney Houston	Step By Step	Deacon Blue	Real Gone Kid	Carly Simon	You're So Vain	Stereophonics	Maybe Tomorrow	Train	Drops Of Jupiter (Tell Me)	Genesis	That's All
Professor Sharon Peacock	scientist	https://www.bbc.co.uk/programmes/m001m4nx	Professor Sharon Peacock, scientist	Oxford Textbook of Medicine	A projector and photos	Time Has Told Me – Nick Drake	Lauren Laverne	2023-05-21	11:15	Tracy Chapman	Fast Car	VOCES8	A Boy and a Girl	Nick Drake	Time Has Told Me	Chris Rea	Driving Home For Christmas	Muse	Take A Bow	Gabriel Fauré	Cantique de Jean Racine, Op. 11	Hector Berlioz	Symphonie Fantastique	Ralph Vaughan Williams	The Lark Ascending
Simon Pegg	actor	https://www.bbc.co.uk/programmes/m001ly7j	Simon Pegg, actor	The Wasp Factory by Iain Banks	A coffee maker	A Day in the Life – The Beatles	Lauren Laverne	2023-05-14	11:15	The Beatles	A Day In The Life	Billy Joel	Rosalinda's Eyes	London Symphony Orchestra, conducted by John Williams	The Asteroid Field	The Smiths	Accept Yourself (David Jensen Session 25/08/83)	The Sisters of Mercy	Marian (Version)	Chaka Khan	I Feel For You	Coldplay	I Bloom Blaum	boygenius	Salt In The Wound
Professor Peter Hennessy	historian	https://www.bbc.co.uk/programmes/m001lr3k	Professor Peter Hennessy, historian	Poetry in the Making by Ted Hughes	A fountain pen, ink and paper	London Girls - Chas & Dave	Lauren Laverne	2023-05-07	11:15	Michael Flanders and Donald Swann	Slow train	Johann Sebastian Bach	Italian Concerto in F, BWV 971	George Formby	Why Don't Women Like Me?	Franz Schubert	Schubert String Quintet In C Major,D. 956 - 2. Adagio	Tom Lehrer	The Elements	Chas & Dave	London Girls	The Pipes and Drums Of Leanisch	Skye Boat Song	Johannes Brahms	How Lovely is Thy Dwelling Place
Dara Ó Briain	comedian and television presenter	https://www.bbc.co.uk/programmes/m001kgn0	Dara Ó Briain, comedian and television presenter	The Feynman Lectures on Physics by Richard Feynman	Astrophotography equipment	Groove is in the Heart - Deee-Lite	Lauren Laverne	2023-03-26	11:15	Prince & The Revolution	Kiss	Wolfgang Amadeus Mozart	Requiem in D Minor, K. 626: No 1, Introitus and Kyrie - Requiem and Kyrie	Kíla	Glanfaidh Mé	Deee‐Lite	Groove Is In The Heart	Gloria Estefan	Cuba Libre	Jimmy McGriff	All About My Girl	Belle and Sebastian	Piazza, New York Catcher	Samuel Barber	Adagio for Strings
Liz Carr	actor and activist	https://www.bbc.co.uk/programmes/m001k7ks	Liz Carr, actor and activist	The Little Prince by Antoine de Saint-Exupéry	A pair of ruby slippers	Sit Down – James	Lauren Laverne	2023-03-19	11:15	Judy Garland	Over the Rainbow	Sheryl Crow	Beautiful Dreamer	James	Sit Down	Ian Stanton	Rollin' Thunder	Dolly Parton	9 to 5	Julie Andrews	Something Good	Claire Willoughby	Palliative Clare	Donna Summer	I Feel Love
Amanda Blanc	businesswoman	https://www.bbc.co.uk/programmes/m001k0lc	Amanda Blanc, businesswoman	Little Women by Louisa May Alcott	A photo album	Tainted Love - Soft Cell	Lauren Laverne	2023-03-12	11:15	Kate Bush	Running Up That Hill (A Deal With God)	The Jam	A Town Called Malice	ABBA	Thank You For The Music	Soft Cell	Tainted Love	Keala Settle	This is Me	Deacon Blue	Dignity	Taylor Swift	The Man	Welsh rugby fans	Land of My Fathers
Robert Webb	comedian	https://www.bbc.co.uk/programmes/m001jsf6	Robert Webb, comedian	Cultural Amnesia by Clive James	A top hat and tails	The Old Fashioned Way - Charles Aznavour	Lauren Laverne	2023-03-05	11:15	Nina Simone	Do I Move You?	Charles Aznavour	The Old Fashioned Way	Elkie Brooks	Fool if you Think it's Over	Soul II Soul	Get a Life	Suede	Metal Mickey	Adrian Lester and Company cast 1996 Donmar Warehouse	Being Alive	Radiohead	How To Disappear Completely	Tariq, The Gregory Brothers & Recess Therapy	It's Corn
Sonia Boyce	artist	https://www.bbc.co.uk/programmes/m001jkfg	Sonia Boyce, artist	Charlie and the Chocolate Factory by Roald Dahl	Champagne	Is That Jazz by Gil Scott Heron	Lauren Laverne	2023-02-26	11:15	Lindisfarne	Meet Me On The Corner	John Holt	Help Me Make It Through The Night	Louisa “Markswoman” Mark	Caught You In A Lie	Talking Heads	Psycho Killer	Dennis Brown	Wolf And Leopards	Gil Scott‐Heron	Is That Jazz?	Corinne Bailey Rae	Put Your Records On	Joan Armatrading	Love And Affection
Jenny Beavan	costume designer	https://www.bbc.co.uk/programmes/m001jbx5	Jenny Beavan, costume designer	The Complete Novels of Jane Austen	A cello	Endure from Bach’s St Matthew Passion. Performed by Hans Peter Blochwitz and the Chapelle Royale Orchestra, conducted by Philippe Herreweghe	Lauren Laverne	2023-02-19	11:15	Johann Sebastian Bach	St. Matthew Passion Endure	Noël Coward	The Stately Homes of England	Giacomo Puccini	"Bizet: Carmen / Act 2 - ""La fleur que tu m'avais jetée"""	Giacomo Puccini	O Mio Babbino Caro	Caitlin Albery Beavan	Scream	Joe Lycett	Parking Fines	Gloria Gaynor	I Will Survive	George Frideric Handel	"Radamisto, HWV 12, Act 2: ""Ombra cara di mia sposa"" (Radamisto)"
