Castaway	Job	URL	Episode title	Book	Luxury	Favourite track	Presenter	Date first broadcast	Time first broadcast	Artist 1	Song 1	Artist 2	Song 2	Artist 3	Song 3	Artist 4	Song 4	Artist 5	Song 5	Artist 6	Song 6	Artist 7	Song 7	Artist 8	Song 8
Marcus du Sautoy		https://www.bbc.co.uk/programmes/b00frmml	Marcus du Sautoy	The Glass Bead Game by Hermann Hesse	My own trumpet	The Prelude to Parsifal by Richard Wagner	Kirsty Young	2008-12-07	11:15	Richard Strauss	Frühling (from Four Last Songs)	Benjamin Britten	Fanfare for St Edmundsbury	Richard Wagner	Parsifal Prelude	Benjamin Britten	I know a bank (from A Midsummer Night's Dream)	Béla Bartók	Look my castle gleams and brightens (from Duke Bluebeard's Castle)	Olivier Messiaen	Turangalîla Symphony - 5th movement	Dmitry Shostakovich	String Quartet No. 8 in C minor - 2nd movement	George Frideric Handel	The many rend the skies (from Alexander's Feast)
Michael Eavis		https://www.bbc.co.uk/programmes/b00fn89g	Michael Eavis	Blake by Peter Ackroyd	A mouth organ with instruction book	How Great Thou Art by Elvis Presley	Kirsty Young	2008-11-30	11:15	T. Rex	Children of the Revolution	Pee Wee Hunt	Twelfth Street Rag	Elvis Presley	How Great Thou Art	Grateful Dead	Uncle John's Band	Bob Dylan	I Threw it All Away	The Smiths	Stop Me If You Think You've Heard This One Before	The Stone Roses	Waterfall	Coldplay	The Scientist
Janet Street-Porter		https://www.bbc.co.uk/programmes/b00fkbrf	Janet Street-Porter	Larousse Gastronomique by Hamlyn	Notebook and Pens	Always on My Mind by Pet Shop Boys	Kirsty Young	2008-11-23	11:15	Jean‐Philippe Rameau	Borée en fureur from Les Boréades	Massive Attack	Unfinished Sympathy	George Formby	When I'm Cleaning Windows	The Modern Jazz Quartet	Cortege	Gaetano Donizetti	Lucia di Lammermoor Act 2	Philip Glass	Dinner with the Beast	Pet Shop Boys	Always on My Mind	Otis Redding	That's How Strong My Love Is
David Davis MP		https://www.bbc.co.uk/programmes/b00ffv1z	David Davis MP	The complete works by Iain Banks	A magic wine cellar which never runs out	Un Bel Di - One Fine Day by Kiri Te Kanawa	Kirsty Young	2008-11-16	11:15	Johann Pachelbel	Canon in D major	P!nk	Get The Party Started	Phil Collins	Another Day In Paradise	Jay Ungar & Molly Mason	The Ashokan Farewell	Kiri Te Kanawa	Un Bel Di - One Fine Day	Mundy–Turner	Stealing My Democracy	Dire Straits	Brothers in Arms	John Williams	Theme from Schindler's List
Allan Ahlberg		https://www.bbc.co.uk/programmes/b00fbl6n	Allan Ahlberg	Selected Stories by Alice Munro	A wall to kick a football against	Closing Time by Leonard Cohen	Kirsty Young	2008-11-14	09:00	Judy Garland	The Trolley Song	Charles Villiers Stanford	Drake's Drum from Songs of the Sea	Bob Dylan	Ain't Talkin'	Norma Waterson	Anna Dixie	Janet Baker	Come Sing and Dance	Ella Fitzgerald	I Didn't Know What Time It Was	Leonard Cohen	Closing Time	Josef Locke	Goodbye (from the White Horse Inn)
Shami Chakrabarti		https://www.bbc.co.uk/programmes/b00f5l38	Shami Chakrabarti	To Kill A Mocking Bird by Harper Lee	A private screening room with movies	I Wish I Knew How It Would Feel To Be Free by Nina Simone	Kirsty Young	2008-11-02	11:15	Nina Simone	I Wish I Knew How It Would Feel To Be Free	David Bowie	'Heroes'	Robert Schumann	Von fremden Ländern und Menschen (from Scenes fron Childhood)	George Gershwin	Rhapsody in Blue	Kaiser Chiefs	The Angry Mob	The Enemy	It's Not OK	Cyndi Lauper	Time After Time	Wolfgang Amadeus Mozart	Requiem in D minor - Introitus
Ian Bostridge		https://www.bbc.co.uk/programmes/b00f2fd3	Ian Bostridge	War and Peace by Leo Tolstoy	A solar computer loaded with pictures of my family and friends	Last movement of the Piano Sonata No.31 in A flat by Ludwig van Beethoven	Kirsty Young	2008-10-26	11:15	Franz Schubert	Das Wandern (from Die Schöne Müllerin)	Wolfgang Amadeus Mozart	Countessa's Aria (from The Marriage of Figaro)	Ludwig van Beethoven	Piano Sonata No. 31 in A flat major, Op. 110 - 3rd movement	Bob Dylan	Don't Think Twice, It's All Right	Benjamin Britten	Now, until the break of day (from A Midsummer Night's Dream)	Robert Schumann	The Opening of Schumann's Piano Quintet in E flat	Thomas Adès	The Quintet from the end of Thomas Ades's opera The Tempest - 2007	Johann Sebastian Bach	Cantata No. 51: Jauchzet Gott in allen Landen
Randy Newman		https://www.bbc.co.uk/programmes/b00dybps	Randy Newman	The Divine Comedy (with translation) by Dante Alighieri	A piano	The 3rd movement of String Quartet No.16 in F Major by Ludwig van Beethoven	Kirsty Young	2008-10-19	11:15	Ludwig van Beethoven	String Quartet No. 16 in F major, Op. 135	Alfred Newman	Goodbyes	George Jones	The Door	Fletcher Henderson	The Stampede	Igor Stravinsky	Sacrificial Dance (from The Rite of Spring)	Dmitry Shostakovich	Symphony No. 15 in A major - 1st movement	Gustav Mahler	Symphony No. 9 in D major - 4th movement	Ray Charles	Come Rain or Come Shine
Sanjeev Bhaskar		https://www.bbc.co.uk/programmes/b00dtw41	Sanjeev Bhaskar	The Hitchhiker's Guide to the Galaxy by Douglas Adams	A grand piano	The Waters of March by Susannah McCorkle	Kirsty Young	2008-10-12	11:15	Elvis Presley	If I Can Dream	The Beatles	A Day In The Life	Salil Chowdhury	Kahin Door Jab Din Dhal Jaye	Wolfgang Amadeus Mozart	Piano Concerto No. 21 in C major - 2nd movement	Monty Python	Always Look On The Bright Side Of Life	The Clash	London Calling	David Bowie	Life On Mars?	Susannah McCorkle	The Waters of March
David McVicar		https://www.bbc.co.uk/programmes/b00dqctb	David McVicar	Vanity Fair by William Makepeace Thackeray	Well stocked bar & fridge	Von Ewiger Liebe by Johannes Brahms	Kirsty Young	2008-10-05	11:15	Wolfgang Amadeus Mozart	Soave sia il vento (from Cosi fan tutte)	Eddi Reader	Ay Fond Kiss	Johannes Brahms	Von ewiger Liebe, Op. 43/1	George Frideric Handel	Cara speme, questo core (from Giulio Cesare)	Tom Waits	Somewhere (from West Side Story)	Joni Mitchell	A Case of You	Ethel Merman	Rose's turn	Wolfgang Amadeus Mozart	Piano Concerto No. 23 in A major - 1st movement
